ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1;1;theory;Привет.<br>Это твой первый урок по ОГЭ.<br><br>Сегодня — <b>без вычислений</b>. Будем учиться <b>читать условие</b>.<br><br>Многие теряют баллы не на математике, а на том, что неправильно прочитали задачу. ⚡;;;;;;;;;;;;;
2;2;1;2;theory;На ОГЭ задания <b>1–5</b> идут <b>по одному тексту</b>.<br><br>Прочитал текст правильно — решил <b>5 заданий из 19</b>. Больше половины того, что нужно на тройку. 🎯;;;;;;;;;;;;;
3;3;1;3;theory;Сюжет каждый раз разный — тарифы, шины, квартира, печь.<br><br>Но <b>метод чтения один</b>. Это 4 вопроса, которые ты задаёшь любой задаче.;;;;;;;;;;;;;
4;4;1;4;theory;💡 <b>Четыре шага чтения задачи:</b><br><br><b>1.</b> <b>Что дано</b> — числа с единицами (<code>240 км</code>, <code>80 ₽</code>).<br><b>2.</b> <b>Что спрашивают</b> — что найти и в каких единицах.<br><b>3.</b> <b>Как связаны</b> — какое действие или формула.<br><b>4.</b> <b>Проверка</b> — единицы сошлись, число похоже на правду.;;;;;;;;;;;;;
5;5;1;5;theory;Самая частая ошибка — между шагами <b>1</b> и <b>2</b>.<br><br>Дано в одних единицах (<code>1500 г</code>), спрашивают в других (<code>кг</code>) — и ученик считает с числом из условия, не переводя.<br><br>Шаг <b>4</b> ловит это: ответ <b>не сходится</b> с тем, что просили.;;;;;;;;;;;;;
6;6;1;6;example;👇 Разберём на простой задаче.<br><br><i>«Автобус отправляется в 9:00. Расстояние до пункта — <code>240 км</code>. Средняя скорость — <code>60 км/ч</code>. Во сколько прибудет?»</i>;;;;;;;;;;;;;
7;7;1;7;example;Применяем все 4 шага:<br><br><b>1. Что дано:</b> <code>240 км</code>, <code>60 км/ч</code>, отправление <code>9:00</code>.<br><b>2. Что спрашивают:</b> время прибытия (часы).<br><b>3. Как связаны:</b> время в пути = расстояние ÷ скорость = <code>240 ÷ 60 = 4 ч</code>.<br><b>4. Проверка:</b> <code>60 × 4 = 240</code> ✓. Прибытие: <code>9:00 + 4 ч = 13:00</code>.;;;;;;;;;;;;;
8;8;1;Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Ты читаешь условие задачи и подчёркиваешь: «<code>240 км</code>, <code>60 км/ч</code>, отправление <code>9:00</code>».<br><br>Какой это шаг?<br><br>А) Что дано<br>Б) Что спрашивают<br>В) Как связаны<br>Г) Проверка;Что дано;Что спрашивают;Как связаны;Проверка;A;✅ Точно. Выписал числа с единицами из условия — это шаг <b>1</b>.;Не туда. «Что спрашивают» — это то, что хотят найти, а ты записал, что уже известно.;«Как связаны» — это про действие между числами. А ты пока только собрал числа.;«Проверка» делается в самом конце, когда ответ уже посчитан.;;4;4;4
9;9;1;Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br><i>«Тетрадь стоит <code>35 ₽</code>. Бабушка дала <code>200 ₽</code>. Сколько сдачи?»</i><br><br>Что запишешь на шаге <b>«что дано»</b>?<br><br>А) Сдача с <code>200 ₽</code><br>Б) <code>35 ₽</code> (цена), <code>200 ₽</code> (сумма)<br>В) Цена тетради<br>Г) Нужно найти сдачу;Сдача с 200 ₽;35 ₽ (цена), 200 ₽ (сумма);Цена тетради;Нужно найти сдачу;B;Это уже шаг <b>2</b> — то, что спрашивают. На шаге 1 пиши, что <b>известно</b>.;✅ Так и надо. Числа с единицами — потом не запутаешься, что с чем считать.;Без числа на шаге 1 нельзя — мы выписываем именно <b>числа</b> с единицами.;Это то, что нужно <b>найти</b>, — это шаг 2 (что спрашивают), не шаг 1.;4;;4;4
10;10;1;Q3;training;✏️ <b>Вопрос 3 из 4 — главная ловушка.</b><br><br><i>«Расстояние <code>120 км</code>, скорость <code>40 км/ч</code>. Найди время в пути <b>в минутах</b>.»</i><br><br>Какое число будет в ответе?<br><br>А) <code>3</code><br>Б) <code>40</code><br>В) <code>160</code><br>Г) <code>180</code>;3;40;160;180;D;Это часы (<code>120 ÷ 40 = 3</code>). А спрашивают <b>в минутах</b>: <code>3 × 60 = 180</code>. Шаг 4 ловит именно это.;Это просто скорость из условия, ничего не посчитал. Время в пути = <code>расстояние ÷ скорость</code>.;Это <code>120 + 40</code>. Тут нужно <b>деление</b>, потом перевод часов в минуты.;✅ Прошёл ловушку. <code>120 ÷ 40 = 3 ч</code>, <code>3 × 60 = 180 мин</code>.;5;4;4;
11;11;1;Q4;main_question;🎯 <b>Финальный вопрос</b> — где сходятся все 4 шага.<br><br><i>«Сахар стоит <code>80 ₽</code> за кг. Купили <code>1500 г</code>. Сколько заплатили?»</i><br><br>А) <code>120 ₽</code><br>Б) <code>80 ₽</code><br>В) <code>1500 ₽</code><br>Г) <code>1200 ₽</code>;120 ₽;80 ₽;1500 ₽;1200 ₽;A;"✅ Урок засчитан. <code>1500 г = 1,5 кг</code>; <code>1,5 × 80 = 120 ₽</code>. Все 4 шага сработали.";Это цена за <b>1 кг</b>, а купили <code>1,5 кг</code>. Шаг 3 — умножить на массу.;<code>1500</code> — это <b>граммы</b>, не рубли. Шаг 1: следи за единицами. Их надо <b>перевести</b>.;Ошибка в переводе: в килограмме <b>1000 г</b>, не 100. Поэтому <code>1500 г = 1,5 кг</code>, а не 15.;;4;5;5
12;12;1;Q4b;main_question_backup;Попробуем ещё раз, проще.<br><br><i>«Маша купила <code>4</code> яблока по <code>15 ₽</code>. Сколько заплатила?»</i><br><br>А) <code>15 ₽</code><br>Б) <code>60 ₽</code><br>В) <code>19 ₽</code><br>Г) <code>11 ₽</code>;15 ₽;60 ₽;19 ₽;11 ₽;B;Это цена за одно — а яблок было четыре. На шаге 3 связь — умножение.;✅ Готово. <code>4 × 15 = 60 ₽</code>.;Это <code>15 + 4</code>. Тут нужно <b>умножение</b>, не сложение: 4 яблока по 15 ₽.;Это <code>15 − 4</code>. Тут нужно <b>умножение</b>: 4 яблока по 15 ₽.;4;;4;4
13;13;1;14;lesson_failed;Сегодня было плотно — ничего страшного. Метод <b>четырёх шагов</b> важно понять, иначе на следующих уроках будет сложнее.<br><br>Завтра утром повторим в коротком формате. Вечером — снова этот урок. 💪;;;;;;;;;;;;;
14;14;1;15;final;🎓 <b>Готово.</b> Первый урок закрыт.<br><br>Запомни 4 шага: <b>что дано → что спрашивают → как связаны → проверка</b>.<br><br>Со следующего урока — конкретные сюжеты. Метод будет работать на всех.<br><br>Через час — короткое повторение.<br><br><b>День 1 ✓</b>;;;;;;;;;;;;;
15;15;1;R1;repeat_1h;⏰ Быстро.<br><br><i>«В магазине <code>7</code> батареек по <code>25 ₽</code>. Сколько заплатили?»</i><br><br>На шаге <b>«как связаны»</b> какое действие?<br><br>А) Сложить <code>7 + 25</code><br>Б) Умножить <code>7 × 25</code><br>В) Вычесть <code>25 − 7</code><br>Г) Разделить <code>25 ÷ 7</code>;Сложить 7 + 25;Умножить 7 × 25;Вычесть 25 − 7;Разделить 25 ÷ 7;B;Сложение тут не подходит: батарейки и рубли — разные единицы. Цена × количество = умножение.;✅ Верно. <code>7 × 25 = 175 ₽</code>.;Вычитание здесь ни при чём. Купили 7 штук по 25 ₽ — это <b>умножение</b>.;Деление тут не подходит. «По 25 ₽ за штуку, 7 штук» = <b>умножение</b>.;4;;4;4
16;16;1;R2;repeat_evening;⏰ Вечерний вопрос.<br><br><i>«Поезд проехал <code>480 км</code> за <code>6 часов</code>. Какая у него средняя скорость?»</i><br><br>Что в этой задаче <b>спрашивают</b>?<br><br>А) Расстояние в км<br>Б) Время в часах<br>В) Скорость в км/ч<br>Г) Расход топлива;Расстояние в км;Время в часах;Скорость в км/ч;Расход топлива;C;Расстояние тут <b>дано</b> (<code>480 км</code>) — это шаг 1, не шаг 2.;Время тут <b>дано</b> (<code>6 часов</code>) — это шаг 1, не шаг 2.;✅ Верно. <code>480 ÷ 6 = 80 км/ч</code>.;В задаче про топливо ничего нет. На шаге 2 пиши только то, что <b>прямо спрашивают</b>.;4;4;;4
17;17;1;R3;repeat_morning;☀️ Утренняя разминка.<br><br><i>«Найдите площадь прямоугольника со сторонами <code>5 м</code> и <code>8 м</code>.»</i><br><br>Что нужно <b>найти</b>?<br><br>А) Площадь<br>Б) Стороны<br>В) Периметр<br>Г) Диагональ;Площадь;Стороны;Периметр;Диагональ;A;✅ Так и есть. Спрашивают <b>площадь</b> — <code>5 × 8 = 40 м²</code>.;Стороны <b>даны</b> в условии (5 и 8) — это шаг 1, не шаг 2.;Про периметр в задаче ничего не сказано — спрашивают именно <b>площадь</b>.;Про диагональ в задаче ничего не сказано — спрашивают именно <b>площадь</b>.;;4;4;4
